Name;MinSpieler;MaxSpieler;Dauer;Genre;Ursprung;Anmerkungen;BGG-Link
Arnak;1;4;60;Deckbuilding/Worker Placement;BSG;Du erkundest eine geheimnisvolle Insel, indem du Arbeiter einsetzt und gleichzeitig dein Kartendeck verbesserst. Neue Orte bringen stärkere Aktionen und Belohnungen. Der Reiz liegt in der Kombination aus kurzfristiger Taktik und langfristigem Engine-Aufbau.;https://boardgamegeek.com/boardgame/312484/lost-ruins-arnak
Arraial;2;4;30;Tile Placement;BSG;Du legst Plättchen, um ein Dorffest optimal zu gestalten. Dabei versuchst du Muster effizient zu vervollständigen. Das Spiel lebt von einfachen Regeln und schnellen, taktischen Entscheidungen.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Arraial
Caldera Park;1;4;30;Flip & Write;BSG;Du planst einen Nationalpark, indem du Tiere und Landschaften geschickt einzeichnest. Dabei musst du Wertungsbedingungen optimal erfüllen. Das Spiel kombiniert Planung mit wechselnden Anforderungen.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Caldera%20Park
Cascadia;1;4;45;Tile Placement;BSG;Du baust ein Ökosystem aus Landschaften und Tieren auf. Jede Tierart hat eigene Wertungsregeln, die du gleichzeitig erfüllen musst. Das Spiel ist ruhig, aber bietet viel taktische Tiefe.;https://boardgamegeek.com/boardgame/295947/cascadia
Chakra;1;4;30;Puzzle;BSG;Du bewegst Energiekugeln durch dein Tableau, um Chakren zu harmonisieren. Dabei planst du mehrere Schritte im Voraus. Das Spiel ist entspannend, aber überraschend knifflig.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Chakra
5 Towers;2;5;20;Kartenspiel;BSG;Du sammelst Karten und baust daraus möglichst wertvolle Türme. Dabei musst du Risiken eingehen und deine Gegner im Blick behalten. Kurze Spielzeit trifft auf taktische Entscheidungen.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=5%20Towers
Fresh Fruits;2;5;20;Familienspiel;BSG;Du bewegst dich über ein modulares Spielfeld und sammelst Früchte für Aufträge. Wege blockieren sich gegenseitig, was Planung erfordert. Das Spiel verbindet Bewegung und Optimierung.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Fresh%20Fruits
Meister der Renaissance;1;4;45;Engine Building;BSG;Du entwickelst Produktionsketten und wandelst Ressourcen in Punkte um. Karten und Fähigkeiten greifen ineinander. Das Spiel bietet strategische Tiefe in kompakter Form.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Meister%20der%20Renaissance
MyShelfie;2;4;30;Puzzle;BSG;Du sammelst Gegenstände und ordnest sie in deinem Regal an. Ziel ist es, bestimmte Muster zu erfüllen. Der Fokus liegt auf räumlichem Denken und Timing.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=MyShelfie
Living Forest;1;4;40;Deckbuilding;BSG;Du spielst Karten aus und nutzt deren Effekte für Aktionen. Gleichzeitig musst du Risiken kontrollieren. Mehrere Siegbedingungen sorgen für abwechslungsreiche Strategien.;https://boardgamegeek.com/geeksearch.php?action=search&objecttype=boardgame&q=Living%20Forest
